cohort_week,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
2020-09-21 00:00:00,100.0,5.6,2.6,1.8,1.7,1.2,0.9,0.8,0.7,0.5,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.1,0.2,0.2,0.2,0.1
2020-09-28 00:00:00,100.0,3.1,1.4,1.2,0.7,0.6,0.5,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,
2020-10-05 00:00:00,100.0,2.8,1.1,0.8,0.6,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,,
2020-10-12 00:00:00,100.0,2.7,1.1,0.9,0.6,0.4,0.3,0.2,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.1,,,
2020-10-19 00:00:00,100.0,2.6,1.3,0.9,0.6,0.4,0.4,0.3,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.1,,,,
2020-10-26 00:00:00,100.0,2.9,1.4,1.0,0.6,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.2,0.1,0.1,0.1,,,,,
2020-11-02 00:00:00,100.0,3.1,1.2,0.7,0.4,0.4,0.3,0.3,0.2,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0.1,,,,,,
2020-11-09 00:00:00,100.0,3.2,1.1,0.6,0.5,0.4,0.4,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.2,0.1,,,,,,,
2020-11-16 00:00:00,100.0,2.7,0.9,0.7,0.5,0.4,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.2,,,,,,,,
2020-11-23 00:00:00,100.0,2.7,1.0,0.7,0.5,0.4,0.2,0.3,0.2,0.3,0.2,0.2,0.3,0.2,,,,,,,,,
2020-11-30 00:00:00,100.0,2.6,1.1,0.7,0.4,0.4,0.3,0.4,0.3,0.4,0.3,0.3,0.2,,,,,,,,,,
2020-12-07 00:00:00,100.0,2.9,1.2,0.6,0.6,0.6,0.5,0.4,0.4,0.3,0.2,0.3,,,,,,,,,,,
2020-12-14 00:00:00,100.0,2.9,0.9,0.7,0.7,0.5,0.4,0.4,0.3,0.2,0.2,,,,,,,,,,,,
2020-12-21 00:00:00,100.0,2.7,1.1,0.9,0.6,0.5,0.3,0.3,0.3,0.2,,,,,,,,,,,,,
2020-12-28 00:00:00,100.0,3.2,1.4,0.9,0.7,0.7,0.4,0.3,0.3,,,,,,,,,,,,,,
2021-01-04 00:00:00,100.0,3.4,1.3,1.0,0.7,0.5,0.4,0.4,,,,,,,,,,,,,,,
2021-01-11 00:00:00,100.0,3.6,1.4,0.9,0.7,0.5,0.5,,,,,,,,,,,,,,,,
2021-01-18 00:00:00,100.0,3.4,1.5,0.9,0.7,0.5,,,,,,,,,,,,,,,,,
2021-01-25 00:00:00,100.0,3.3,1.4,0.8,0.6,,,,,,,,,,,,,,,,,,
2021-02-01 00:00:00,100.0,2.5,1.1,0.7,,,,,,,,,,,,,,,,,,,
2021-02-08 00:00:00,100.0,3.1,1.1,,,,,,,,,,,,,,,,,,,,
2021-02-15 00:00:00,100.0,2.9,,,,,,,,,,,,,,,,,,,,,
2021-02-22 00:00:00,100.0,,,,,,,,,,,,,,,,,,,,,,
